,underwrittencoverid,policyid,postalcode,mmcode,cylinders,cubiccapacity,kilowatts,numberofdoors,customvalueestimate,capitaloutstanding,numberofvehiclesinfleet,suminsured,calculatedpremiumperterm,totalpremium,totalclaims
underwrittencoverid,1.0,0.9285192181892974,0.24704092624219667,0.08316413143630685,-0.07983734354372853,0.0835370202818793,-0.019157803384150504,-0.09112743615152297,0.0984631766564174,0.25858556804472704,,0.03639254540840707,0.06594327717901435,0.11839575241510378,-0.01754556247500042
policyid,0.9285192181892974,1.0,0.26167033076049967,0.0713633868169557,-0.08403986856490626,0.06810830569964031,-0.031873105984661025,-0.0656283826646618,0.11108451225509593,0.30734795652073366,,0.034296582306530515,0.06977582831606226,0.09559380750570165,-0.015192374930754107
postalcode,0.24704092624219667,0.26167033076049967,1.0,-0.01625273885080234,-0.03786102835194923,-0.0908754557271544,-0.19284315680159592,-0.030427966456123508,0.12469689475356369,0.1986638252510543,,0.019594772598351205,0.060898735967121205,0.08362179097180002,-0.014587723346989585
mmcode,0.08316413143630685,0.0713633868169557,-0.01625273885080234,1.0,-0.02040913750845888,0.6850876908249391,0.6103154985215301,-0.08354770303792282,0.080260940670912,0.13330164926801838,,0.010759053548691878,0.05990347646592921,0.08928654867033001,0.0019135903364899036
cylinders,-0.07983734354372853,-0.08403986856490626,-0.03786102835194923,-0.02040913750845888,1.0,0.13373936771835854,0.23299617408815754,-0.3924745494552816,-0.11457155622425609,-0.08846294692373126,,0.003418657842851031,-0.01602917794541414,-0.001502956553200792,0.0014219950427233653
cubiccapacity,0.0835370202818793,0.06810830569964031,-0.0908754557271544,0.6850876908249391,0.13373936771835854,1.0,0.7731973228547537,-0.21836394072131057,-0.03540536175594809,0.06695598026758744,,0.002629195346046016,0.05407908314142377,0.07429400044997846,0.006593784986982011
kilowatts,-0.019157803384150504,-0.031873105984661025,-0.19284315680159592,0.6103154985215301,0.23299617408815754,0.7731973228547537,1.0,-0.07551204156166824,-0.13575238820072366,-0.10443089486477705,,-0.007738562167099259,0.004502408334962507,0.009579838598675158,0.007362097682736716
numberofdoors,-0.09112743615152297,-0.0656283826646618,-0.030427966456123508,-0.08354770303792282,-0.3924745494552816,-0.21836394072131057,-0.07551204156166824,1.0,0.023368463505034107,0.017040026852817077,,0.002416109422842383,-0.02356052756792183,-0.023293464365221245,-0.002062995585214037
customvalueestimate,0.0984631766564174,0.11108451225509593,0.12469689475356369,0.080260940670912,-0.11457155622425609,-0.03540536175594809,-0.13575238820072366,0.023368463505034107,1.0,0.46792535832484006,,0.029391685230324066,0.09873389758258189,0.09832847798807194,0.001923599444896836
capitaloutstanding,0.25858556804472704,0.30734795652073366,0.1986638252510543,0.13330164926801838,-0.08846294692373126,0.06695598026758744,-0.10443089486477705,0.017040026852817077,0.46792535832484006,1.0,,0.04945907506975464,0.1394202217925679,0.09299870940924064,-0.009660467111749527
numberofvehiclesinfleet,,,,,,,,,,,,,,,
suminsured,0.03639254540840707,0.034296582306530515,0.019594772598351205,0.010759053548691878,0.003418657842851031,0.002629195346046016,-0.007738562167099259,0.002416109422842383,0.029391685230324066,0.04945907506975464,,1.0,0.30308772801064865,0.16626568323467147,-0.009104686477050747
calculatedpremiumperterm,0.06594327717901435,0.06977582831606226,0.060898735967121205,0.05990347646592921,-0.01602917794541414,0.05407908314142377,0.004502408334962507,-0.02356052756792183,0.09873389758258189,0.1394202217925679,,0.30308772801064865,1.0,0.5248808232853154,0.048514277397527734
totalpremium,0.11839575241510378,0.09559380750570165,0.08362179097180002,0.08928654867033001,-0.001502956553200792,0.07429400044997846,0.009579838598675158,-0.023293464365221245,0.09832847798807194,0.09299870940924064,,0.16626568323467147,0.5248808232853154,1.0,0.05385599155404628
totalclaims,-0.01754556247500042,-0.015192374930754107,-0.014587723346989585,0.0019135903364899036,0.0014219950427233653,0.006593784986982011,0.007362097682736716,-0.002062995585214037,0.001923599444896836,-0.009660467111749527,,-0.009104686477050747,0.048514277397527734,0.05385599155404628,1.0
